ticket_id,account_id,created_date,category,priority,resolution_time_hours,satisfaction_score
TCK-0007461,ACC-103375,2025-01-08,Onboarding,Medium,11.3,4.0
TCK-0007462,ACC-103375,2025-10-22,Feature Request,Low,29.2,5.0
TCK-0007463,ACC-103375,2024-12-03,Onboarding,Low,27.2,
TCK-0007464,ACC-103375,2025-03-09,Feature Request,Medium,19.2,5.0
TCK-0007465,ACC-103375,2025-11-11,Billing,Medium,10.2,4.0
TCK-0007466,ACC-104301,30-Jul-2025,Feature Request,High,1.9,
TCK-0007467,ACC-104301,2026-02-05,Onboarding,High,7.0,4.0
TCK-0007468,ACC-104301,2025-09-17,Onboarding,Low,9.4,3.0
TCK-0007469,ACC-103970,25-Jan-2025,Billing,High,1.2,5.0
TCK-0007470,ACC-103970,2026-02-18,Billing,Medium,0.1,4.0
TCK-0007471,ACC-103970,05-Jun-2025,Bug Report,Medium,2.0,5.0
TCK-0007472,ACC-103970,2025-09-16,Billing,Urgent,0.3,3.0
TCK-0007473,ACC-103970,2025-05-02,Integration Help,Low,13.5,4.0
TCK-0007474,ACC-103970,17-Apr-2026,Onboarding,Urgent,1.9,4.0
TCK-0007475,ACC-103970,06-Apr-2026,Feature Request,Urgent,3.3,5.0
TCK-0007476,ACC-103970,2025-02-27,Billing,Medium,13.0,
TCK-0007477,ACC-103970,20-Sep-2025,Onboarding,Low,10.9,5.0
TCK-0007478,ACC-102698,30/05/2025,Onboarding,Low,8.4,
TCK-0007479,ACC-102698,2025-08-29,Performance,Medium,21.6,4.0
TCK-0007480,ACC-102698,2026-05-02,Onboarding,Low,0.4,4.0
TCK-0007481,ACC-102698,2025-06-08,Performance,High,8.1,5.0
TCK-0007482,ACC-102698,2025-11-06,Integration Help,Urgent,1.4,
TCK-0007483,ACC-100757,02/28/2025,Integration Help,Low,57.0,
TCK-0007484,ACC-100757,2023-07-08,Account Access,Low,2.7,3.0
TCK-0007485,ACC-100757,2024-02-14,Account Access,Medium,12.0,3.0
TCK-0007486,ACC-100757,2024-12-04,Onboarding,Medium,13.4,3.0
TCK-0007487,ACC-100757,2023-06-02,Feature Request,Medium,,4.0
TCK-0007488,ACC-100757,2025/06/18,Onboarding,Medium,,
TCK-0007489,ACC-100757,2025-10-27,Other,Urgent,0.9,3.0
TCK-0007490,ACC-100757,05/07/2023,Bug Report,Medium,9.1,3.0
TCK-0007491,ACC-101817,2024-02-23,Account Access,Low,10.2,2.0
TCK-0007492,ACC-101817,2025-01-04,Billing,Low,15.8,4.0
TCK-0007493,ACC-101817,11/29/2024,Account Access,Medium,13.6,4.0
TCK-0007494,ACC-101817,2024-09-13,Bug Report,High,17.9,4.0
TCK-0007495,ACC-101817,2025-01-05,Bug Report,Medium,8.0,1.0
TCK-0007496,ACC-101817,14/12/2024,Integration Help,Low,0.7,4.0
TCK-0007497,ACC-105072,09/08/2025,Bug Report,Low,14.9,
TCK-0007498,ACC-105072,03/04/2026,Performance,High,5.0,5.0
TCK-0007499,ACC-101041,2026-05-30,Billing,Medium,0.8,1.0
TCK-0007500,ACC-101041,09/19/2025,Account Access,Medium,5.4,4.0
TCK-0007501,ACC-101041,08/03/2025,Other,High,0.4,5.0
TCK-0007502,ACC-102271,10-May-2025,Feature Request,Medium,30.2,
TCK-0007503,ACC-103043,2024-05-29,Performance,High,11.6,5.0
TCK-0007504,ACC-103043,05-Nov-2024,Performance,Medium,29.2,3.0
TCK-0007505,ACC-103043,2025-12-22,Feature Request,Low,14.3,
TCK-0007506,ACC-103043,2025-02-26,Onboarding,Medium,4.0,5.0
TCK-0007507,ACC-104294,13-May-2026,Account Access,Low,27.2,3.0
TCK-0007508,ACC-105750,11-Mar-2025,Billing,Medium,11.1,4.0
TCK-0007509,ACC-105750,15-Jan-2026,Onboarding,Low,6.2,3.0
TCK-0007510,ACC-105750,07/18/2025,Performance,Urgent,5.6,5.0
TCK-0007511,ACC-105750,11/03/2026,Account Access,Medium,5.9,5.0
TCK-0007512,ACC-100596,2025-07-24,Feature Request,Medium,23.1,5.0
TCK-0007513,ACC-100596,01/05/2025,Bug Report,Medium,19.2,4.0
TCK-0007514,ACC-100596,2024-09-09,Billing,Medium,16.0,5.0
TCK-0007515,ACC-100596,2026-02-23,Bug Report,Low,37.5,3.0
TCK-0007516,ACC-100596,2025-11-02,Other,Medium,,4.0
TCK-0007517,ACC-105903,10/20/2022,Billing,Medium,2.2,3.0
TCK-0007518,ACC-105903,02/02/2023,Onboarding,Medium,10.4,
TCK-0007519,ACC-105903,2024-03-18,Bug Report,Low,3.5,3.0
TCK-0007520,ACC-105903,04/05/2023,Billing,Low,0.4,2.0
TCK-0007521,ACC-105903,2024-05-16,Bug Report,Low,20.1,2.0
TCK-0007522,ACC-104937,2026/05/09,Feature Request,Medium,5.6,3.0
TCK-0007523,ACC-104937,25-Oct-2022,Feature Request,High,20.0,4.0
TCK-0007524,ACC-104937,2026-05-06,Onboarding,Medium,2.2,
TCK-0007525,ACC-104937,2023-11-08,Other,Medium,2.6,5.0
TCK-0007526,ACC-104937,10/07/2023,Performance,Low,,4.0
TCK-0007527,ACC-104937,2024-12-26,Other,Medium,6.9,5.0
TCK-0007528,ACC-104412,2023-08-12,Feature Request,Medium,9.1,4.0
TCK-0007529,ACC-104412,08/03/2024,Onboarding,Low,24.1,3.0
TCK-0007530,ACC-104412,2024-02-03,Performance,Medium,2.0,2.0
TCK-0007531,ACC-104412,2022-10-01,Billing,Low,2.7,5.0
TCK-0007532,ACC-104412,20/08/2023,Other,Medium,3.0,4.0
TCK-0007533,ACC-104412,01/08/2025,Performance,Medium,1.1,3.0
TCK-0007534,ACC-101068,2025-09-26,Bug Report,Low,11.8,5.0
TCK-0007535,ACC-101068,30-Nov-2025,Account Access,Low,2.1,5.0
TCK-0007536,ACC-101068,2026/03/06,Other,High,1.6,4.0
TCK-0007537,ACC-101068,26/09/2025,Bug Report,Medium,11.8,4.0
TCK-0007538,ACC-101068,10/16/2025,Billing,Medium,20.4,4.0
TCK-0007539,ACC-101068,2025-09-30,Other,Low,21.7,4.0
TCK-0007540,ACC-101068,27/11/2025,Feature Request,High,18.5,5.0
TCK-0007541,ACC-101647,2026-05-20,Account Access,Urgent,1.6,5.0
TCK-0007542,ACC-101647,04/10/2025,Feature Request,Medium,5.2,
TCK-0007543,ACC-101647,2025-11-15,Integration Help,Low,5.6,5.0
TCK-0007544,ACC-101647,01/16/2026,Other,Low,31.7,4.0
TCK-0007545,ACC-101647,25-Jul-2025,Feature Request,Medium,10.0,
TCK-0007546,ACC-103121,13/03/2024,Onboarding,Medium,4.8,
TCK-0007547,ACC-103121,05/07/2023,Bug Report,High,33.6,2.0
TCK-0007548,ACC-103121,2024-03-02,Feature Request,Low,,
TCK-0007549,ACC-103121,2024-02-07,Performance,Medium,1.9,4.0
TCK-0007550,ACC-103121,2025-09-30,Integration Help,Low,5.3,
TCK-0007551,ACC-103121,22/09/2023,Account Access,Low,8.9,2.0
TCK-0007552,ACC-103121,12/08/2025,Account Access,Low,17.9,4.0
TCK-0007553,ACC-103121,03/07/2024,Feature Request,Low,10.0,1.0
TCK-0007554,ACC-104233,2023-01-31,Billing,Medium,3.6,4.0
TCK-0007555,ACC-104233,26/10/2023,Integration Help,Medium,4.5,
TCK-0007556,ACC-104233,2023-07-04,Onboarding,Medium,14.0,3.0
TCK-0007557,ACC-104233,2023-01-01,Performance,High,23.5,5.0
TCK-0007558,ACC-103034,25-Dec-2025,Onboarding,Low,,4.0
TCK-0007559,ACC-103034,09/06/2025,Performance,Low,0.5,3.0
TCK-0007560,ACC-103034,2026-02-11,Billing,High,11.2,5.0
TCK-0007561,ACC-103034,29/01/2026,Billing,Low,7.6,
TCK-0007562,ACC-103034,2026-03-05,Bug Report,Medium,16.3,5.0
TCK-0007563,ACC-103320,2022-10-15,Onboarding,Low,9.7,
TCK-0007564,ACC-103320,2022-04-01,Feature Request,High,45.0,5.0
TCK-0007565,ACC-103320,04/04/2024,Feature Request,Low,4.2,4.0
TCK-0007566,ACC-103320,2025-12-06,Account Access,High,22.2,4.0
TCK-0007567,ACC-103320,2025-03-08,Feature Request,Low,4.2,4.0
TCK-0007568,ACC-100652,2025-10-12,Account Access,Medium,2.2,
TCK-0007569,ACC-104828,08/14/2022,Feature Request,Low,26.0,5.0
TCK-0007570,ACC-104828,2023-11-08,Billing,Low,8.5,3.0
TCK-0007571,ACC-104828,2023-10-12,Account Access,Low,30.6,5.0
TCK-0007572,ACC-104828,2025-03-27,Other,High,21.5,4.0
TCK-0007573,ACC-104828,05/05/2024,Performance,Medium,3.5,
TCK-0007574,ACC-101700,2025-04-05,Onboarding,Low,2.0,4.0
TCK-0007575,ACC-101700,2026-02-12,Onboarding,Medium,2.1,4.0
TCK-0007576,ACC-101700,22-Jun-2025,Account Access,High,21.0,4.0
TCK-0007577,ACC-101700,2026-01-13,Billing,Low,5.7,5.0
TCK-0007578,ACC-101700,03/19/2025,Bug Report,Medium,8.5,
TCK-0007579,ACC-101700,2025-06-29,Feature Request,High,1.5,4.0
TCK-0007580,ACC-104689,2023-02-20,Account Access,Medium,,3.0
TCK-0007581,ACC-104689,12/26/2022,Performance,Medium,6.2,5.0
TCK-0007582,ACC-104878,2025-08-28,Account Access,Urgent,3.2,
TCK-0007583,ACC-104878,09/10/2025,Other,Medium,19.7,
TCK-0007584,ACC-104878,01/18/2025,Billing,Medium,11.2,5.0
TCK-0007585,ACC-104878,01-Nov-2025,Feature Request,Medium,11.3,3.0
TCK-0007586,ACC-104878,2023-09-26,Onboarding,Low,2.5,3.0
TCK-0007587,ACC-104878,2025-06-20,Onboarding,High,18.7,4.0
TCK-0007588,ACC-104878,23/01/2024,Billing,Low,2.0,2.0
TCK-0007589,ACC-104878,2023-04-19,Performance,Medium,9.7,3.0
TCK-0007590,ACC-102691,2022-09-05,Performance,Low,15.7,5.0
TCK-0007591,ACC-102691,12/25/2025,Bug Report,High,16.7,
TCK-0007592,ACC-102691,28/08/2024,Onboarding,High,33.0,1.0
TCK-0007593,ACC-102691,2026-04-16,Account Access,High,22.2,4.0
TCK-0007594,ACC-102691,2023-09-19,Integration Help,High,2.0,4.0
TCK-0007595,ACC-102691,28/10/2022,Other,High,6.1,4.0
TCK-0007596,ACC-105820,14/03/2023,Performance,Medium,4.7,5.0
TCK-0007597,ACC-105820,2023-12-06,Billing,Low,34.6,
TCK-0007598,ACC-105820,17-Nov-2023,Performance,Low,,3.0
TCK-0007599,ACC-105820,04/17/2024,Bug Report,Medium,4.8,3.0
TCK-0007600,ACC-105820,2024-03-05,Billing,Urgent,0.7,
TCK-0007601,ACC-105820,2023-03-22,Feature Request,Medium,9.0,5.0
TCK-0007602,ACC-105820,2025-01-23,Feature Request,Medium,5.9,
TCK-0007603,ACC-105820,2025-03-18,Integration Help,Low,3.7,3.0
TCK-0007604,ACC-102721,2023/07/19,Onboarding,Low,1.1,4.0
TCK-0007605,ACC-102721,03/24/2023,Billing,Medium,2.2,4.0
TCK-0007606,ACC-102721,2022-10-28,Integration Help,High,6.4,
TCK-0007607,ACC-102721,2022/11/20,Other,Medium,30.5,4.0
TCK-0007608,ACC-102721,2023-04-08,Integration Help,Medium,8.8,5.0
TCK-0007609,ACC-102721,10/10/2023,Other,Medium,43.0,4.0
TCK-0007610,ACC-104925,2023/09/30,Billing,High,4.3,4.0
TCK-0007611,ACC-104925,2024-03-25,Billing,Low,18.0,5.0
TCK-0007612,ACC-104925,2024-10-22,Bug Report,Urgent,3.1,2.0
TCK-0007613,ACC-104925,30-Dec-2024,Billing,Medium,9.1,4.0
TCK-0007614,ACC-104925,27/07/2024,Feature Request,Medium,7.7,4.0
TCK-0007615,ACC-104925,2024-03-27,Performance,Medium,0.2,
TCK-0007616,ACC-104925,2024-03-13,Other,High,18.8,3.0
TCK-0007617,ACC-104925,2024-01-28,Integration Help,Low,7.1,4.0
TCK-0007618,ACC-102457,2023-09-17,Bug Report,High,6.7,4.0
TCK-0007619,ACC-102457,2024-02-08,Account Access,Medium,11.8,5.0
TCK-0007620,ACC-102457,2026-01-19,Onboarding,Low,,4.0
TCK-0007621,ACC-102457,06/08/2025,Other,Medium,13.2,
TCK-0007622,ACC-100075,2023/12/23,Bug Report,Low,20.9,
TCK-0007623,ACC-100075,2024-01-04,Integration Help,Medium,26.8,
TCK-0007624,ACC-101245,26-Feb-2026,Onboarding,Urgent,3.1,
TCK-0007625,ACC-103705,2023-05-19,Onboarding,Medium,6.6,5.0
TCK-0007626,ACC-103705,21/08/2023,Feature Request,Medium,,4.0
TCK-0007627,ACC-103705,07/09/2025,Other,Medium,4.2,
TCK-0007628,ACC-103705,2023-06-16,Account Access,Low,8.1,
TCK-0007629,ACC-103705,2023-08-07,Bug Report,High,2.0,2.0
TCK-0007630,ACC-103012,30-Mar-2025,Onboarding,Medium,7.9,1.0
TCK-0007631,ACC-103012,2025-04-06,Integration Help,Medium,27.7,
TCK-0007632,ACC-103012,27/09/2024,Performance,Low,29.9,
TCK-0007633,ACC-105125,07/09/2025,Bug Report,Medium,24.3,4.0
TCK-0007634,ACC-105125,2025-10-07,Feature Request,Medium,8.3,5.0
TCK-0007635,ACC-105125,2025-12-27,Onboarding,Urgent,,
TCK-0007636,ACC-105125,2025-10-19,Account Access,Medium,1.4,2.0
TCK-0007637,ACC-105125,2025-11-29,Other,Low,25.6,2.0
TCK-0007638,ACC-104006,2023-09-11,Feature Request,Low,0.6,
TCK-0007639,ACC-104006,2025-09-29,Performance,Medium,-13.8,4.0
TCK-0007640,ACC-104006,10/28/2025,Performance,Low,15.0,3.0
TCK-0007641,ACC-104006,03/09/2026,Bug Report,Low,1.6,4.0
TCK-0007642,ACC-104006,2025/10/17,Performance,Low,1.6,4.0
TCK-0007643,ACC-104006,02/22/2024,Integration Help,Medium,5.5,4.0
TCK-0007644,ACC-102004,2024/01/13,Performance,High,1.5,3.0
TCK-0007645,ACC-102004,27-Jan-2024,Billing,Low,11.8,3.0
TCK-0007646,ACC-102004,2024-01-20,Performance,Urgent,1.5,3.0
TCK-0007647,ACC-102004,01/11/2024,Integration Help,Low,19.3,5.0
TCK-0007648,ACC-102004,01/24/2024,Integration Help,High,6.1,5.0
TCK-0007649,ACC-102004,2024-01-11,Bug Report,Urgent,1.8,5.0
TCK-0007650,ACC-102004,2024-01-23,Feature Request,Low,7.0,3.0
TCK-0007651,ACC-105828,2026-02-25,Account Access,Medium,3.8,5.0
TCK-0007652,ACC-105828,2025-09-25,Bug Report,Urgent,10.7,5.0
TCK-0007653,ACC-103269,2024-10-20,Account Access,Low,4.7,5.0
TCK-0007654,ACC-103269,01/19/2024,Performance,Low,2.2,4.0
TCK-0007655,ACC-103269,28-Jun-2024,Account Access,Urgent,1.5,2.0
TCK-0007656,ACC-103269,2024-10-20,Integration Help,Medium,0.4,5.0
TCK-0007657,ACC-103269,08/20/2025,Onboarding,High,12.9,2.0
TCK-0007658,ACC-103196,10/02/2025,Other,Urgent,1.5,5.0
TCK-0007659,ACC-103196,2024-11-23,Billing,Medium,8.4,
TCK-0007660,ACC-103196,14/01/2026,Performance,High,14.8,4.0
TCK-0007661,ACC-103196,07-May-2025,Bug Report,Low,2.2,4.0
TCK-0007662,ACC-103196,26/03/2025,Billing,Urgent,2.0,3.0
TCK-0007663,ACC-100108,2026-02-23,Onboarding,High,5.5,4.0
TCK-0007664,ACC-100108,2023-12-26,Performance,Medium,10.7,5.0
TCK-0007665,ACC-100108,01/02/2026,Feature Request,Medium,53.1,5.0
TCK-0007666,ACC-101010,01/07/2023,Feature Request,High,14.5,1.0
TCK-0007667,ACC-101010,05/11/2025,Performance,Low,4.4,
TCK-0007668,ACC-101010,2023-05-15,Onboarding,Medium,5.8,4.0
TCK-0007669,ACC-101010,01/29/2025,Performance,Medium,21.1,5.0
TCK-0007670,ACC-101010,06/06/2024,Account Access,Medium,4.5,
TCK-0007671,ACC-101010,20-Nov-2023,Integration Help,Low,20.8,4.0
TCK-0007672,ACC-101029,2025-12-22,Onboarding,Low,42.7,3.0
TCK-0007673,ACC-101029,09/11/2025,Other,High,7.9,1.0
TCK-0007674,ACC-101029,2024-10-19,Onboarding,Medium,0.1,
TCK-0007675,ACC-101029,10/23/2025,Onboarding,Medium,1.4,4.0
TCK-0007676,ACC-101029,20-Apr-2025,Integration Help,High,17.1,5.0
TCK-0007677,ACC-102251,07/25/2025,Billing,Medium,14.1,5.0
TCK-0007678,ACC-102251,07/17/2025,Other,Medium,0.9,4.0
TCK-0007679,ACC-102251,05-May-2023,Integration Help,Low,28.6,2.0
TCK-0007680,ACC-100828,2023-07-03,Account Access,Low,12.0,3.0
TCK-0007681,ACC-100828,2023-06-25,Performance,Medium,16.6,4.0
TCK-0007682,ACC-105399,12/27/2025,Performance,Low,3.5,4.0
TCK-0007683,ACC-105399,2025-08-01,Account Access,Medium,22.2,4.0
TCK-0007684,ACC-105399,2026-02-28,Account Access,Medium,-10.2,4.0
TCK-0007685,ACC-105399,29-Oct-2025,Feature Request,High,23.8,4.0
TCK-0007686,ACC-105399,2026-02-13,Performance,Medium,38.1,
TCK-0007687,ACC-105399,03/04/2026,Account Access,Low,12.4,5.0
TCK-0007688,ACC-105399,10-Nov-2025,Onboarding,Medium,4.5,4.0
TCK-0007689,ACC-105399,2025-08-25,Onboarding,Low,9.0,4.0
TCK-0007690,ACC-104283,07/10/2024,Billing,Low,0.9,
TCK-0007691,ACC-104283,05-Jun-2024,Onboarding,Medium,4.7,3.0
TCK-0007692,ACC-104283,2024-06-06,Billing,Medium,2.3,5.0
TCK-0007693,ACC-104283,2025-10-03,Other,Low,33.7,5.0
TCK-0007694,ACC-100096,2025-08-04,Bug Report,Medium,6.0,4.0
TCK-0007695,ACC-100096,05/13/2025,Account Access,High,16.5,2.0
TCK-0007696,ACC-104293,2023-07-06,Feature Request,Medium,27.3,4.0
TCK-0007697,ACC-104293,2025-08-17,Other,Low,15.6,2.0
TCK-0007698,ACC-104293,17/04/2025,Integration Help,Medium,6.0,5.0
TCK-0007699,ACC-105503,2025-10-18,Performance,Low,5.6,3.0
TCK-0007700,ACC-105503,2025-10-20,Feature Request,Medium,5.4,4.0
TCK-0007701,ACC-105503,2026/02/06,Billing,Medium,12.8,5.0
TCK-0007702,ACC-105503,17/12/2025,Onboarding,Low,19.6,4.0
TCK-0007703,ACC-105503,17-Oct-2025,Account Access,Medium,9.9,5.0
TCK-0007704,ACC-105503,2025-07-31,Performance,Low,15.8,3.0
TCK-0007705,ACC-105503,10/04/2025,Performance,Medium,0.9,4.0
TCK-0007706,ACC-105169,2025-07-13,Onboarding,Urgent,2.8,5.0
TCK-0007707,ACC-105169,04/01/2026,Billing,Low,10.8,
TCK-0007708,ACC-101385,10/06/2022,Billing,Low,12.1,5.0
TCK-0007709,ACC-101385,07-Apr-2022,Integration Help,Low,0.7,4.0
TCK-0007710,ACC-101385,21-Jun-2022,Billing,Urgent,0.4,5.0
TCK-0007711,ACC-101385,09/14/2022,Other,High,13.4,4.0
TCK-0007712,ACC-101385,02/10/2022,Account Access,Low,13.9,4.0
TCK-0007713,ACC-101385,2022-04-19,Account Access,Low,74.8,2.0
TCK-0007714,ACC-101200,18/03/2024,Billing,Low,4.8,
TCK-0007715,ACC-101200,02-Nov-2024,Account Access,Medium,7.5,3.0
TCK-0007716,ACC-101200,2026-01-22,Integration Help,Low,14.0,
TCK-0007717,ACC-101200,2026-04-30,Integration Help,Medium,0.9,1.0
TCK-0007718,ACC-101200,2026-03-30,Feature Request,High,16.2,3.0
TCK-0007719,ACC-101200,2025-02-21,Billing,Medium,3.7,4.0
TCK-0007720,ACC-100621,2023-12-26,Account Access,High,2.7,5.0
TCK-0007721,ACC-100621,09-Sep-2023,Bug Report,Low,8.3,5.0
TCK-0007722,ACC-100621,02/29/2024,Billing,Medium,47.9,4.0
TCK-0007723,ACC-105533,2026-03-18,Other,Low,0.7,4.0
TCK-0007724,ACC-105533,2024-09-18,Account Access,Medium,12.0,5.0
TCK-0007725,ACC-105533,2025/05/07,Account Access,Medium,0.4,
TCK-0007726,ACC-105533,2023-10-22,Account Access,Medium,8.2,2.0
TCK-0007727,ACC-105533,2025-06-02,Other,Medium,5.7,
TCK-0007728,ACC-105533,2022-11-02,Performance,Medium,,5.0
TCK-0007729,ACC-101412,05/25/2023,Integration Help,Medium,1.8,4.0
TCK-0007730,ACC-101412,2022-12-25,Performance,Medium,5.2,3.0
TCK-0007731,ACC-100566,05/12/2024,Onboarding,Low,9.7,5.0
TCK-0007732,ACC-100566,2025-06-28,Onboarding,Medium,2.2,5.0
TCK-0007733,ACC-100566,11/23/2024,Bug Report,Low,9.6,5.0
TCK-0007734,ACC-100543,2026-01-15,Performance,High,20.2,4.0
TCK-0007735,ACC-101334,04/05/2023,Performance,Low,12.0,5.0
TCK-0007736,ACC-101334,09-Aug-2023,Integration Help,Low,4.4,5.0
TCK-0007737,ACC-101334,2022-09-27,Onboarding,Low,,3.0
TCK-0007738,ACC-101334,2023-08-20,Other,Low,39.5,5.0
TCK-0007739,ACC-101334,2024-01-24,Performance,Low,3.6,2.0
TCK-0007740,ACC-105286,2024-09-21,Feature Request,Low,6.2,4.0
TCK-0007741,ACC-105286,2024-10-20,Other,High,4.2,4.0
TCK-0007742,ACC-105286,2024-09-27,Account Access,Medium,27.5,3.0
TCK-0007743,ACC-105286,03-Oct-2025,Performance,Medium,0.7,4.0
TCK-0007744,ACC-105286,12/21/2024,Billing,Low,,5.0
TCK-0007745,ACC-105286,13/03/2024,Feature Request,High,35.9,4.0
TCK-0007746,ACC-105286,2025/06/15,Feature Request,Medium,3.2,5.0
TCK-0007747,ACC-105286,2024-03-01,Account Access,High,1.2,4.0
TCK-0007748,ACC-105286,2023-09-19,Account Access,Low,7.1,4.0
TCK-0007749,ACC-105286,07/02/2024,Billing,Low,7.3,5.0
TCK-0007750,ACC-105286,11/01/2023,Integration Help,High,12.1,2.0
TCK-0007751,ACC-100051,2025-06-22,Integration Help,Low,23.4,4.0
TCK-0007752,ACC-100051,2025-07-13,Billing,Low,2.4,5.0
TCK-0007753,ACC-100051,2025-09-03,Bug Report,Low,17.6,5.0
TCK-0007754,ACC-100051,2025-08-06,Integration Help,High,9.8,3.0
TCK-0007755,ACC-105118,04/14/2024,Other,Medium,5.8,5.0
TCK-0007756,ACC-105118,04-Sep-2023,Other,High,28.5,5.0
TCK-0007757,ACC-105118,2025-06-26,Onboarding,High,12.3,4.0
TCK-0007758,ACC-105118,2024-07-25,Other,Urgent,0.2,3.0
TCK-0007759,ACC-105118,09/19/2025,Onboarding,Urgent,0.7,3.0
TCK-0007760,ACC-105118,2024-05-05,Onboarding,High,6.7,4.0
TCK-0007761,ACC-105118,2023-01-03,Other,Low,0.5,4.0
TCK-0007762,ACC-101859,06/29/2024,Onboarding,Medium,3.0,
TCK-0007763,ACC-102578,2022-11-13,Feature Request,Urgent,8.4,4.0
TCK-0007764,ACC-102578,2022-11-26,Integration Help,Medium,3.4,2.0
TCK-0007765,ACC-104338,2025-06-27,Feature Request,Medium,10.4,5.0
TCK-0007766,ACC-104338,2025-11-29,Feature Request,Medium,11.4,
TCK-0007767,ACC-104338,2023-09-29,Performance,Low,0.9,3.0
TCK-0007768,ACC-104338,2024-11-17,Feature Request,Low,2.8,5.0
TCK-0007769,ACC-104338,2024-10-19,Feature Request,Low,4.4,
TCK-0007770,ACC-104338,2025-07-12,Billing,Medium,12.0,4.0
TCK-0007771,ACC-104338,2024-06-16,Feature Request,Medium,3.7,3.0
TCK-0007772,ACC-104338,29/05/2024,Billing,Low,17.8,2.0
TCK-0007773,ACC-104338,16-Jul-2023,Account Access,Low,11.9,5.0
TCK-0007774,ACC-104338,03/08/2024,Bug Report,Medium,15.2,
TCK-0007775,ACC-101558,2025/08/30,Billing,Medium,11.1,3.0
TCK-0007776,ACC-100745,2025-01-14,Bug Report,High,,4.0
TCK-0007777,ACC-100745,12-Jan-2026,Billing,Medium,2.2,4.0
TCK-0007778,ACC-100745,2024-07-27,Performance,High,5.3,5.0
TCK-0007779,ACC-100745,12/23/2024,Account Access,Low,34.0,
TCK-0007780,ACC-100745,2026-04-04,Onboarding,Low,1.2,5.0
TCK-0007781,ACC-100745,2024-05-15,Feature Request,Medium,33.8,4.0
TCK-0007782,ACC-100745,2025-08-09,Other,Medium,8.8,5.0
TCK-0007783,ACC-104370,2024-04-09,Integration Help,Medium,0.2,2.0
TCK-0007784,ACC-104370,17-Aug-2024,Billing,Medium,0.3,3.0
TCK-0007785,ACC-104370,09/13/2024,Other,Low,8.4,5.0
TCK-0007786,ACC-104370,2024-07-22,Onboarding,High,2.3,
TCK-0007787,ACC-104370,2024-09-19,Billing,Low,2.1,5.0
TCK-0007788,ACC-104370,14/09/2024,Account Access,Medium,8.0,1.0
TCK-0007789,ACC-104370,20-Mar-2024,Account Access,High,6.3,2.0
TCK-0007790,ACC-104370,08/30/2024,Other,Medium,1.5,
TCK-0007791,ACC-104370,2024-09-03,Bug Report,Low,9.5,5.0
TCK-0007792,ACC-101467,2025-11-06,Bug Report,Low,10.6,5.0
TCK-0007793,ACC-101467,2025-04-20,Feature Request,Medium,35.6,5.0
TCK-0007794,ACC-101467,08/05/2025,Performance,Medium,0.4,4.0
TCK-0007795,ACC-101467,11/10/2025,Account Access,Low,2.1,3.0
TCK-0007796,ACC-101467,2026-04-12,Billing,Low,8.4,5.0
TCK-0007797,ACC-101467,13/10/2025,Performance,High,0.4,2.0
TCK-0007798,ACC-101467,2024-10-14,Feature Request,Urgent,0.1,4.0
TCK-0007799,ACC-101467,09-Nov-2025,Onboarding,Urgent,4.2,3.0
TCK-0007800,ACC-102057,27/02/2025,Performance,Low,3.4,4.0
TCK-0007801,ACC-102057,2025/02/28,Feature Request,Low,26.2,4.0
TCK-0007802,ACC-102057,05/22/2024,Account Access,Low,7.6,5.0
TCK-0007803,ACC-102057,2024-12-11,Feature Request,Medium,5.0,
TCK-0007804,ACC-102057,2024/08/28,Account Access,Medium,15.8,2.0
TCK-0007805,ACC-100195,04/13/2023,Bug Report,High,13.3,3.0
TCK-0007806,ACC-100195,2023-11-01,Integration Help,Medium,,5.0
TCK-0007807,ACC-100195,2023-06-16,Onboarding,High,14.5,
TCK-0007808,ACC-100195,2023-10-20,Billing,Low,16.7,5.0
TCK-0007809,ACC-103505,2025-11-28,Billing,Medium,9.7,1.0
TCK-0007810,ACC-103505,10/09/2025,Other,Medium,,5.0
TCK-0007811,ACC-103505,2025/10/11,Feature Request,High,4.8,
TCK-0007812,ACC-103505,2026-05-14,Performance,Medium,12.7,4.0
TCK-0007813,ACC-105041,2023-09-15,Billing,Medium,13.6,5.0
TCK-0007814,ACC-105041,04/11/2023,Feature Request,Low,,3.0
TCK-0007815,ACC-105041,2023-07-10,Onboarding,High,10.1,5.0
TCK-0007816,ACC-105041,27/02/2023,Integration Help,Medium,16.8,5.0
TCK-0007817,ACC-105041,11-Apr-2023,Onboarding,Low,7.5,4.0
TCK-0007818,ACC-105041,27-Sep-2023,Performance,Low,10.2,4.0
TCK-0007819,ACC-105041,03/23/2023,Onboarding,Low,25.7,
TCK-0007820,ACC-103891,2024-07-29,Performance,Low,11.1,3.0
TCK-0007821,ACC-103891,10/25/2025,Integration Help,Medium,13.1,3.0
TCK-0007822,ACC-103891,2025-07-13,Billing,Urgent,5.7,
TCK-0007823,ACC-103891,2025-06-24,Other,Medium,44.5,2.0
TCK-0007824,ACC-100802,08/27/2025,Integration Help,Low,5.6,4.0
TCK-0007825,ACC-100802,2025-07-22,Account Access,Low,18.8,4.0
TCK-0007826,ACC-101618,2023-03-21,Onboarding,High,2.6,5.0
TCK-0007827,ACC-101618,2026-02-11,Feature Request,Medium,6.4,
TCK-0007828,ACC-101618,03/14/2026,Bug Report,Low,2.4,4.0
